id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,address,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,White,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,Straight,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,968 Elm Street,d0:4b:7c:b2:be:9d,University of Florida,,"{'address': '1108 Fourth Street', 'city': 'San Francisco', 'state': 'Tennessee', 'stateCode': 'TN', 'postalCode': '63517', 'coordinates': {'lat': -49.230074, 'lng': 103.094302}, 'country': 'United States'}",270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,San Diego,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,Colorado,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,CO,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,64610,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,"{'lat': 81.64788, 'lng': 179.922909}",d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,United States,d0:4b:7c:b2:be:9d,University of Florida,,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,05/27,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,2753155771474852,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,Elo,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,CNY,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,7I5K7G5VXEDAKWG1D52TD5QA,,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
48,Luna,Russell,,27,female,luna.russell@x.dummyjson.com,+91 730-486-3735,lunar,lunarpass,1997-6-18,https://dummyjson.com/icon/lunar/128,O-,188,76.37,Hazel,,218.176.123.51,,d0:4b:7c:b2:be:9d,University of Florida,,Marketing,270-115,867-546-518,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",,user
