id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,address,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,Red,162.232.212.187,,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,Wavy,162.232.212.187,,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,1705 Pine Street,42:fa:3e:8:22:1f,University of Miami,,"{'address': '381 Madison Street', 'city': 'Jacksonville', 'state': 'New Hampshire', 'stateCode': 'NH', 'postalCode': '30926', 'coordinates': {'lat': -32.970666, 'lng': 111.725715}, 'country': 'United States'}",107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,Jacksonville,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,Kansas,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,KS,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,39449,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,"{'lat': 35.632082, 'lng': 127.968158}",42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,United States,42:fa:3e:8:22:1f,University of Miami,,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
70,Zoe,Nicholson,,32,female,zoe.nicholson@x.dummyjson.com,+49 638-976-6904,zoen,zoenpass,1992-12-24,https://dummyjson.com/icon/zoen/128,A+,177.34,56.28,Hazel,,162.232.212.187,,42:fa:3e:8:22:1f,University of Miami,04/26,,107-293,447-330-498,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",,user
