id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,address,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,Blonde,1.61.73.142,,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,Curly,1.61.73.142,,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,1163 Pine Street,6e:73:dc:3a:85:10,Columbia University,,"{'address': '938 Fifth Street', 'city': 'San Francisco', 'state': 'South Dakota', 'stateCode': 'SD', 'postalCode': '45305', 'coordinates': {'lat': 21.323588, 'lng': -83.531427}, 'country': 'United States'}",585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,Los Angeles,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,Nevada,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,NV,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,58781,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,"{'lat': -3.456681, 'lng': -134.937482}",6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,United States,6e:73:dc:3a:85:10,Columbia University,,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
27,Daniel,Cook,,41,male,daniel.cook@x.dummyjson.com,+44 254-761-6843,danielc,danielcpass,1983-12-25,https://dummyjson.com/icon/danielc/128,AB+,186.21,83.72,Brown,,1.61.73.142,,6e:73:dc:3a:85:10,Columbia University,01/26,,585-905,645-515-583,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,,user
