id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,address,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,Black,161.193.124.63,,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,Kinky,161.193.124.63,,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,1577 Seventh Street,b6:5c:51:80:86:8c,Boston University,,"{'address': '1624 Maple Street', 'city': 'Denver', 'state': 'Montana', 'stateCode': 'MT', 'postalCode': '31968', 'coordinates': {'lat': -17.662779, 'lng': 165.102747}, 'country': 'United States'}",504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,Phoenix,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,Minnesota,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,MN,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,47571,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,"{'lat': -78.054184, 'lng': -159.412033}",b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,United States,b6:5c:51:80:86:8c,Boston University,,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
60,Lillian,Simmons,,32,female,lillian.simmons@x.dummyjson.com,+61 857-625-2029,lillians,lillianspass,1992-3-9,https://dummyjson.com/icon/lillians/128,A+,173.72,87.33,Gray,,161.193.124.63,,b6:5c:51:80:86:8c,Boston University,01/29,,504-909,593-729-652,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",,user
